name,ring,quadrant,isNew,description
DuckDuckGo,adopt,tools,FALSE,""
Mozilla Firefox,adopt,tools,FALSE,""
uMatrix,adopt,tools,FALSE,""
Pocket,adopt,tools,FALSE,""
YubiKey,adopt,tools,FALSE,""
Trello,adopt,tools,FALSE,""
7zip,adopt,tools,FALSE,""
Signal,adopt,tools,FALSE,""
Telegram,adopt,tools,FALSE,""
Docker,adopt,tools,FALSE,"With docker-compose"
VS Code,adopt,tools,FALSE,""
Windows Terminal,adopt,tools,FALSE,""
vim,adopt,tools,FALSE,"With vim-plug plug-in manager"
jq,adopt,tools,FALSE,""
MS Office,adopt,tools,FALSE,"Excel+PowerPoint+Outlook+OneDrive+Teams+Forms+Whiteboard"
VLC,adopt,tools,FALSE,""
WinDirStat,adopt,tools,FALSE,""
PDFsam,adopt,tools,FALSE,""
Chromecast,adopt,tools,FALSE,""
Nikola,adopt,tools,FALSE,"Static blog generator"
NC headphones,adopt,tools,FALSE,""
Revolut,adopt,tools,FALSE,""
Wired 60% mechanical keyboard,adopt,tools,FALSE,"With Cherry MX Brown switches"
Apple Music,adopt,tools,FALSE,"Open to any other tool with personal rating (0-5) and smart playlist support"
Canva,trial,tools,FALSE,""
draw.io,trial,tools,FALSE,""
HuggingFace,trial,tools,FALSE,""
Google Analytics,trial,tools,FALSE,""
Handbrake,assess,tools,FALSE,""
MS To Do,assess,tools,FALSE,""
WhatsApp,assess,tools,FALSE,""
FB Messenger,assess,tools,FALSE,""
TrueCrypt,assess,tools,FALSE,"Not safe anymore?"
Adobe Reader,hold,tools,FALSE,"Use browser PDF reader"
MS Word+OneNote+Access+SharePoint,hold,tools,FALSE,""
OpenOffice and LibreOffice,hold,tools,FALSE,""
Lastpass,hold,tools,FALSE,"Multi-device became unavailable in free tier"
MS Edge,hold,tools,FALSE,"New tab page cannot be blank"
Obsidian,hold,tools,FALSE,""
eReader,hold,tools,FALSE,""
Google Search,hold,tools,FALSE,""
Google Chrome,hold,tools,FALSE,""
PuTTY,hold,tools,FALSE,"Windows 10+ has built-in SSH client"
Resource-hungry anti-malware,hold,tools,FALSE,""
Eisenhower matrix,adopt,techniques,FALSE,"Urgency vs importance. What is important is seldom urgent. Do. Defer. Delegate. Delete."
confidence vote,adopt,techniques,FALSE,""
password manager,adopt,techniques,FALSE,"Use different random password per application. Currently using Bitwarden."
first.lastname mailaddress,adopt,techniques,FALSE,""
minimalism,adopt,techniques,FALSE,"KISS. DRY. Tools without cords or batteries."
lifelong learning,adopt,techniques,FALSE,"+ reasoning from first principles"
TIL,adopt,techniques,FALSE,"Maintain a 'Today I Learned' file"
dotfiles repository,adopt,techniques,FALSE,""
personal DNS domain,adopt,techniques,FALSE,"Versio"
webcam cover,adopt,techniques,FALSE,""
functional programming,adopt,techniques,FALSE,"Immutability. Pure functions. No side effects. Referential Transparency. Composability. Algebraic data types."
RSS,adopt,techniques,FALSE,"Feedly"
semantic versioning,adopt,techniques,FALSE,"Feedly"
paperless office,adopt,techniques,FALSE,"Don't own a printer"
backups,adopt,techniques,FALSE,"Scheduled. Offline and online. Encrypted. Geographically distributed. Currently using rclone."
